AL	741686
AK	46328
AZ	716562
AR	446552
CA	5326281
CO	385783
CT	37730
DE	98898
FL	2434037
GA	1228756
HI	130999
ID	136355
IL	1521043
IN	717771
IA	274527
KS	244406
KY	719902
LA	722736
ME	134196
MD	586600
MA	663002
MI	1089147
MN	403976
MS	499452
MO	713229
MT	79916
NE	151011
NV	304999
NH	110901
NJ	1034719
NM	258209
NY	2700940
NC	1236800
ND	67448
OH	1288233
OK	446731
OR	361166
PA	1521431
RI	159313
SC	657982
SD	76199
TN	960016
TX	3399538
UT	171146
VT	58067
VA	910152
WA	2357669
WV	3208443
WI	543045
WY	40926
